Date,Net_Revenue,Export_Revenue,Charge_Cost,PV_Total,Charge_PV,Charge_Grid,Discharge,Curtail,Max_SOC
2025-07-01,15026.68557822359,16258.46159409129,1231.7760158677002,15092.45,5725.007109,3587.3235430000004,7726.699169099999,0.0,5504.0
2025-07-02,76761.2597798644,82278.1732071454,5516.913427281001,9340.46,6666.190877,10073.815563,15634.366071999999,0.0,5504.0
2025-07-03,3873.8779172547997,4880.2088267448,1006.3309094900001,15684.64,4108.79313,5763.408043,9060.830236,5994.695789,5504.0
2025-07-04,1590.18626608494,1454.0524608054,-136.13380527954,8565.98,1178.260877,11451.551178200001,10944.89904,6933.279123,5504.0
2025-07-05,1193.950286341,985.3569542529999,-208.593332088,1346.79,177.679999999989,13567.499919000002,10826.889378,947.47000000001,5504.0
2025-07-06,2098.9374051322,2328.2870880215,229.3496828893,17589.88,7285.406099,9840.125058000001,16837.5292624,4604.323901,5504.0
2025-07-07,1752.48587133025,2377.8629544202,625.37708308995,10029.43,5928.169475,9354.9602495,13989.422359,0.0,5504.0
2025-07-08,999.3136514799,875.4858070884,-123.82784439150002,11769.99,15.179999999991,10727.703075000001,9992.628972999999,11702.15,5504.0
2025-07-09,1413.461193126,1948.6347967905,535.1736036645001,4529.75,2462.34,11078.511014000002,10977.755443,0.0,5504.0
2025-07-10,2094.958517389,2203.4678906797,108.5093732907,14031.61,2056.024233,11129.653605000001,12506.80108,10536.602437,5504.0
2025-07-11,1942.3772991157,2519.1140832238,576.7367841081,11069.99,7018.5487761,10308.782854000001,12711.296042,0.0,5504.0
2025-07-12,3115.21805108099,3638.99140354169,523.7733524607,14616.85,6201.4264840000005,7234.404663,15844.9228953,1331.538855,5504.0
2025-07-13,526.0514394696,572.672937086,46.621497616400006,11000.08,24.66,10227.421019000001,4225.261459,10953.18,5504.0
2025-07-14,3009.9292929711,3984.7875048642,974.8582118931001,10586.82,5875.62199,8623.194159,13662.081451999999,0.0,5504.0
2025-07-15,3248.1527021385,3921.6733925704,673.5206904319,15856.36,7524.65616,6044.453342000001,15766.835743,0.0,5504.0
2025-07-16,3286.19936208644,3825.6229774948,539.42361540836,18217.67,7357.9,8345.605791,13993.470143999999,0.0,5504.0
2025-07-17,2279.323572333,2771.7144196677,492.3908473347,14829.34,7599.46,9573.369049,13892.567692999999,0.0,5504.0
2025-07-18,3539.9646178732,4197.2736972823,657.3090794091,18598.71,6207.83273,5837.442255,13585.341784,0.0,5504.0
2025-07-19,909.8341028478,1061.0151545758,151.181051728,7216.01,254.79895699999997,8473.68416,6854.183066,6568.4710430000005,5504.0
2025-07-20,1579.7349485301,1966.2204802972,386.48553176710004,16532.72,7519.5814980000005,5738.4461035,12434.357302999999,0.0,5504.0
2025-07-21,1139.7312748861,687.9670275832,-451.7642473029,18449.84,198.275622999996,13120.833255000001,11427.537339999999,17545.200000000004,5463.2917
2025-07-22,1233.6066506797,1094.6448682099,-138.96178246980003,11645.41,908.67421,11531.492221,11025.691781,9901.5257895,5504.0
2025-07-23,3025.610510305667,3454.29618664767,428.68567634200303,17038.58,8112.848968,8647.19244147,16474.739342684,0.0,5504.0
2025-07-24,1761.97245298498,2049.69296230858,287.7205093236,12507.5,2827.774211,10508.10243,11039.5535757,8479.315789,5504.0
2025-07-25,1058.4719537077199,1222.16411939712,163.6921656894,1181.05,672.932493,12004.166595,10975.858929,0.0,5504.0
2025-07-26,1825.6834613236601,1862.7247558922,37.04129456854,10387.85,5295.295194,9159.4556902,14506.71043,801.554684,5504.0
2025-07-27,431.92593078929997,524.7265135686,92.8005827793,10119.04,4795.731155,9826.666608000001,9328.432684,2669.905789,5504.0
2025-07-28,4577.3043352490195,5367.49915837712,790.1948231281001,12996.17,8376.4653,8504.6200752,17793.331455699998,0.0,5504.0
2025-07-29,3335.4869984767997,4419.8867343118,1084.399735835,8004.59,4624.59,7393.7000573000005,12055.856646,0.0,5504.0
2025-07-30,3623.444629862,4604.7540047109,981.3093748489,17596.15,8269.34872,7542.604478,13413.664743,0.0,5504.0
2025-07-31,968.8522082073,1435.2447887562,466.3925805489,2117.23,343.56327,3796.6666440000004,4693.95954,0.0,4455.5
