Date,Net_Revenue,Export_Revenue,Charge_Cost,PV_Total,Discharge,Export_Battery,Curtail,End_SOC_kWh,End_SOC_Percent
2025-07-01,15537.43722714035,15651.085635666666,113.64840852631579,15092.45,5238.456140350878,4976.533333333335,2.5316666666666667,0.0,0.0
2025-07-02,58083.74430967544,58473.882965675446,390.13865599999997,9340.46,5238.456140350878,4976.533333333335,0.3224999999999995,0.0,0.0
2025-07-03,2511.937729166667,2487.3270355000004,-24.61069366666666,15684.64,5238.456140350878,4976.533333333335,4504.309122807018,0.0,0.0
2025-07-04,874.0747217149124,833.4526560833334,-40.62206563157894,8565.98,5238.456140350878,4976.533333333335,3821.9025,0.0,0.0
2025-07-05,954.6286404692983,859.56234275,-95.06629771929823,1346.79,5238.456140350878,4976.533333333335,59.738333333333344,0.0,0.0
2025-07-06,1576.4246196666668,1559.9190936666669,-16.505525999999993,17589.88,5238.456140350878,4976.533333333335,2912.039122807019,0.0,0.0
2025-07-07,1684.3170095833334,1652.105042916667,-32.21196666666666,10029.43,5238.456140350878,4976.533333333335,-0.014999999999951275,0.0,0.0
2025-07-08,801.8401016666668,741.7820896666668,-60.058011999999984,11769.99,5238.456140350878,4976.533333333335,7482.139122807019,0.0,0.0
2025-07-09,1012.3115763026317,1157.128935916667,144.8173596140352,4529.75,5238.456140350878,4976.533333333335,3.9968028886505635e-14,0.0,0.0
2025-07-10,1229.9031720791668,1149.0037774125,-80.89939466666664,14031.61,5240.121622807019,4978.115541666668,7578.506622807018,0.0,0.0
2025-07-11,1827.4457780745615,1838.0160907412283,10.570312666666664,11069.99,5238.456140350878,4976.533333333335,-0.009999999999998899,2365.754385964914,42.98245614035091
2025-07-12,1919.490954175439,1893.928902175439,-25.562051999999994,14616.85,5232.126447368422,4970.520125000002,0.9841666666667241,0.0,0.0
2025-07-13,911.7285406666667,847.0445573333334,-64.68398333333333,11000.08,5238.456140350878,4976.533333333335,6799.175789473686,0.0,0.0
2025-07-14,2202.8342851223683,2366.4843451223683,163.65006,10586.82,5239.22951754386,4977.268041666667,-0.009999999999923403,0.0,0.0
2025-07-15,2343.4335689192985,2442.9270115859654,99.49344266666664,15856.36,5238.845921052633,4976.903625000001,0.32416666666669086,0.0,0.0
2025-07-16,2739.7755890642547,2787.8950863625,48.11949729824551,18217.67,5234.308377192984,4972.5929583333345,2.5383333333333873,0.0,0.0
2025-07-17,2122.373573139474,2169.6214118061407,47.24783866666666,14829.34,5238.707192982458,4976.771833333334,0.0033333333333303017,0.0,0.0
2025-07-18,2844.465798785088,2858.174963118421,13.709164333333321,18598.71,5238.456140350878,4976.533333333335,-0.013333333333292785,0.0,0.0
2025-07-19,996.3821190000001,947.4944523333335,-48.88766666666666,7216.01,5238.456140350878,4976.533333333335,3023.245789473684,434.5263157894752,7.89473684210529
2025-07-20,1318.7234186359651,1315.45298825,-3.2704303859649206,16532.72,5238.456140350878,4976.533333333335,1.5799999999999974,0.0,0.0
2025-07-21,634.2834147499999,521.7624570833333,-112.52095766666662,18449.84,5238.456140350878,4976.533333333335,12737.280789473685,0.0,0.0
2025-07-22,813.0434547500001,724.7654197500001,-88.27803499999999,11645.41,5238.456140350878,4976.533333333335,5886.2666228070175,0.0,0.0
2025-07-23,2252.5373058596497,2254.4100178596495,1.8727120000000002,17038.58,5238.456140350878,4976.533333333335,17.746666666666698,0.0,0.0
2025-07-24,1430.475146,1406.1243706666667,-24.35077533333332,12507.5,5238.456140350878,4976.533333333335,4482.260789473685,0.0,0.0
2025-07-25,486.19903446052643,712.5838435833334,226.38480912280696,1181.05,5238.456140350878,4976.533333333335,7.270833333333341,0.0,0.0
2025-07-26,1338.474824377193,1274.1316048333333,-64.34321954385965,10387.85,5238.456140350878,4976.533333333335,687.6241666666667,0.0,0.0
2025-07-27,563.5000053333334,466.9260363333334,-96.573969,10119.04,5238.456140350878,4976.533333333335,2064.949122807017,0.0,0.0
2025-07-28,3119.1783884508773,3140.0988901,20.92050164912276,12996.17,5237.1134210526325,4975.257750000001,-0.002499999999962199,0.0,0.0
2025-07-29,2582.0063547763166,2861.5694381096496,279.56308333333334,8004.59,5238.456140350878,4976.533333333335,2.5308333333333395,0.0,0.0
2025-07-30,3245.8375720760964,3305.7552814094297,59.91770933333331,17596.15,5235.70697368421,4973.921625,-0.009166666666686751,0.0,0.0
2025-07-31,-174.7882653333333,56.162892666666664,230.95115799999996,2117.23,229.33333333333331,217.86666666666665,0.0033333333333331883,1602.561333333333,29.116303294573637
